codigo,Nombre,ACC_deporte_tiempo_TransportePublico,ACC_deporte_tiempo_coche,ACC_educacion_tiempo_TransportePublico_Infantil_Publicos,ACC_educacion_tiempo_TransportePublico_Infantil_PublicosPrivados,ACC_educacion_tiempo_TransportePublico_Preinfantil_Publicos,ACC_educacion_tiempo_TransportePublico_Preinfantil_PublicosPrivados,ACC_educacion_tiempo_TransportePublico_Primaria_Publicos,ACC_educacion_tiempo_TransportePublico_Primaria_PublicosPrivados,ACC_educacion_tiempo_TransportePublico_Secundaria_Publicos,ACC_educacion_tiempo_TransportePublico_Secundaria_PublicosPrivados,ACC_educacion_tiempo_coche_Infantil_Publicos,ACC_educacion_tiempo_coche_Infantil_PublicosPrivados,ACC_educacion_tiempo_coche_Preinfantil_Publicos,ACC_educacion_tiempo_coche_Preinfantil_PublicosPrivados,ACC_educacion_tiempo_coche_Primaria_Publicos,ACC_educacion_tiempo_coche_Primaria_PublicosPrivados,ACC_educacion_tiempo_coche_Secundaria_Publicos,ACC_educacion_tiempo_coche_Secundaria_PublicosPrivados,ACC_farmacias_tiempo_TransportePublico,ACC_farmacias_tiempo_coche,ACC_gasolineras_tiempo_coche,ACC_sanidad_tiempo_TransportePublico_OfertaAsistencial_MedicinaGeneralDeFamilia,ACC_sanidad_tiempo_TransportePublico_OfertaAsistencial_OdontologiaEstomatologia,ACC_sanidad_tiempo_coche_OfertaAsistencial_MedicinaGeneralDeFamilia,ACC_sanidad_tiempo_coche_OfertaAsistencial_OdontologiaEstomatologia,ATR_ServiciosDeEducacion_ClusterPoblacion,ATR_ServiciosDeEducacion_ClusterEstadistica,ATR_CalidadDelAire_ClusterPoblacion,ATR_CalidadDelAire_ClusterEstadistica,ATR_TipologiaDePoblacion_ClusterPoblacion,ATR_TipologiaDePoblacion_ClusterEstadistica,ATR_AtractividadDeLosInmuebles_ClusterPoblacion,ATR_AtractividadDeLosInmuebles_ClusterEstadistica,ATR_AtractividadDeLasInfraestructurasDeTransporte_ClusterPoblacion,ATR_AtractividadDeLasInfraestructurasDeTransporte_ClusterEstadistica,ATR_DinamismosEconomico_ClusterPoblacion,ATR_DinamismosEconomico_ClusterEstadistica,OSM_supermercados_tiempo_coche,OSM_supermercados_tiempo_TransportePublico,IDE_PoblacionTotal,IDE_PrecioPorMetroCuadrado
28089,Moraleja de Enmedio,10.06,2.69,9.51,9.51,24.29,24.29,9.51,9.51,15.31,15.31,2.8,2.8,11.54,11.54,2.8,2.8,3.89,3.89,3.44,1.15,3.23,5.39,64.93,2.4,18.2,0.76,0.81,0.43,0.59,0.41,0.44,0.47,0.48,0.6,0.47,0.55,0.62,3,25,5630,2052
28090,Moralzarzal,19.87,3.47,9.7,9.7,5.96,5.96,11.57,11.57,11.13,11.13,2.14,2.14,1.17,1.17,2.63,2.63,2.42,2.42,6.14,2.17,2.55,7.09,80.28,1.71,44.28,0.64,0.63,0.4,0.68,0.47,0.42,0.53,0.49,0.69,0.59,0.52,0.39,7,32,14504,2607
28091,Morata de Tajuña,9.15,3.42,7.21,7.21,6.48,6.48,8.68,8.68,9.63,9.63,2.96,2.96,2.72,2.72,3.42,3.42,2.35,2.35,2.8,0.68,8.75,5.45,62.24,2.58,29.58,0.71,0.77,0.42,0.67,0.53,0.57,0.41,0.52,0.58,0.35,0.46,0.48,3,25,8294,1626
28093,Navacerrada,13.33,6.17,12.56,12.56,12.1,12.1,13.03,13.03,45.24,45.24,5.86,5.86,5.75,5.75,5.97,5.97,9.12,9.12,5.85,4.15,9.6,11.0,130.07,6.05,53.98,0.9,0.93,0.57,0.26,0.54,0.59,0.6,0.43,0.78,0.79,0.49,0.57,4,27,3307,2553
28094,Navalafuente,15.3,2.99,9.09,9.09,9.09,9.09,68.47,68.47,49.43,49.43,1.73,1.73,1.73,1.73,10.23,10.23,10.28,10.28,15.36,3.19,9.04,13.39,124.82,2.09,46.26,0.83,0.9,0.44,0.5,0.57,0.56,0.55,0.5,0.47,0.35,0.45,0.41,6,30,1703,2096
28095,Navalagamella,10.84,4.9,7.97,7.97,6.45,6.45,9.49,9.49,15.4,15.4,3.2,3.2,2.83,2.83,3.58,3.58,9.67,9.67,5.17,2.07,10.08,11.39,155.27,3.52,43.55,0.76,0.71,0.69,0.44,0.51,0.45,0.43,0.45,0.69,0.31,0.39,0.29,10,37,3119,2191
28096,Navalcarnero,12.21,7.13,10.91,10.91,13.1,13.1,9.23,9.23,5.83,5.83,6.13,6.13,5.43,5.43,5.73,5.73,4.51,4.51,10.23,6.56,3.7,11.27,90.08,7.77,25.86,0.62,0.59,0.43,0.59,0.44,0.48,0.45,0.59,0.58,0.57,0.49,0.49,3,25,32684,2284
28097,Navarredonda y San Mamés,8.05,1.9,43.73,43.73,45.3,45.3,47.75,47.75,47.75,47.75,10.75,10.75,10.91,10.91,12.14,12.14,12.14,12.14,22.95,6.36,13.13,10.65,157.19,2.37,58.94,0.77,0.83,0.44,0.5,0.43,0.43,0.57,0.48,0.68,0.55,0.49,0.47,8,34,154,3347
28099,Navas del Rey,15.69,4.07,12.3,12.3,13.05,13.05,11.56,11.56,11.56,11.56,3.83,3.83,4.06,4.06,3.61,3.61,3.61,3.61,9.35,1.89,4.61,12.48,117.67,2.37,41.49,0.64,0.7,0.69,0.44,0.55,0.51,0.5,0.46,0.68,0.36,0.45,0.4,8,34,3344,1538
28100,Nuevo Baztán,22.99,3.53,19.22,18.87,19.38,19.38,19.05,17.38,19.05,17.38,4.11,3.95,4.16,4.16,4.06,3.86,4.06,3.86,21.37,3.97,3.25,25.41,146.95,3.86,37.88,0.65,0.74,0.64,0.42,0.51,0.59,0.52,0.53,0.62,0.52,0.47,0.49,4,27,7393,1725
28101,Olmeda de las Fuentes,6.22,1.83,9.7,9.7,9.7,9.7,18.87,18.87,18.87,18.87,1.6,1.6,1.6,1.6,6.28,6.28,6.28,6.28,8.27,2.43,5.55,1.45,166.29,0.1,40.92,0.95,0.92,0.6,0.42,0.51,0.51,0.52,0.49,0.47,0.58,0.48,0.53,6,30,409,1229
28102,Orusco de Tajuña,10.02,2.6,6.79,6.79,6.8,6.8,6.78,6.78,187.81,187.81,2.27,2.27,2.27,2.27,2.27,2.27,13.28,13.28,8.0,4.97,2.22,6.97,130.56,4.67,41.83,0.78,0.74,0.6,0.42,0.53,0.55,0.48,0.54,0.46,0.6,0.46,0.43,7,32,1504,1262
28104,Paracuellos de Jarama,20.69,6.08,18.33,17.08,53.24,53.24,19.49,16.89,12.84,12.91,5.26,4.75,17.06,17.06,5.47,4.8,2.95,3.37,19.6,5.47,2.71,30.06,71.25,12.16,24.76,0.64,0.78,0.42,0.44,0.44,0.37,0.52,0.44,0.54,0.52,0.46,0.33,3,25,27241,2744
28107,Patones,10.62,2.12,8.39,8.39,8.66,8.66,8.1,8.1,30.23,30.23,2.48,2.48,1.68,1.68,3.28,3.28,9.05,9.05,5.61,3.92,8.73,10.67,136.34,2.88,50.08,0.78,0.85,0.44,0.5,0.47,0.46,0.52,0.47,0.58,0.59,0.5,0.49,9,35,604,1182
28108,Pedrezuela,13.76,7.1,14.87,13.19,12.79,12.79,15.07,15.07,31.66,31.66,7.16,5.52,6.32,6.32,7.36,7.36,8.89,8.89,11.03,2.19,9.6,16.11,109.89,3.14,35.48,0.82,0.87,0.57,0.5,0.46,0.58,0.45,0.57,0.69,0.23,0.45,0.41,3,25,6475,2391
28109,Pelayos de la Presa,12.3,4.15,11.27,11.27,10.27,10.27,12.27,12.27,13.7,13.7,3.3,3.3,2.43,2.43,4.17,4.17,10.0,10.0,3.25,1.2,5.45,7.97,123.66,2.13,52.67,0.72,0.71,0.69,0.44,0.63,0.67,0.5,0.51,0.7,0.51,0.46,0.5,3,25,3106,1227
28110,Perales de Tajuña,6.68,1.2,2.49,2.49,2.49,2.49,2.49,2.49,50.99,50.99,2.74,2.74,2.74,2.74,2.74,2.74,13.48,13.48,3.05,2.69,3.25,10.53,75.75,2.79,31.78,0.81,0.75,0.64,0.42,0.52,0.56,0.42,0.49,0.77,0.42,0.51,0.52,7,32,3195,1267
28111,Pezuela de las Torres,20.59,3.3,9.81,9.81,9.81,9.81,296.42,296.42,186.01,186.01,2.37,2.37,2.37,2.37,14.97,14.97,14.78,14.78,9.09,1.98,7.19,7.02,138.66,1.36,46.2,0.82,0.79,0.6,0.42,0.46,0.47,0.47,0.48,0.44,0.56,0.47,0.48,10,37,990,1014
28112,Pinilla del Valle,8.28,2.65,21.92,21.92,22.62,22.62,21.22,21.22,330.62,330.62,9.76,9.76,9.58,9.58,9.94,9.94,45.62,45.62,9.38,2.12,9.73,3.85,297.34,1.17,65.82,0.77,0.83,0.44,0.5,0.49,0.49,0.5,0.51,0.63,0.59,0.5,0.47,4,27,199,1366
28114,Piñuécar-Gandullas,21.36,4.49,39.37,39.37,40.3,40.3,32.55,32.55,32.56,32.56,10.35,10.35,10.44,10.44,8.51,8.51,8.51,8.51,40.37,8.33,5.08,19.45,160.25,3.35,55.4,0.77,0.83,0.44,0.5,0.41,0.41,0.55,0.5,0.72,0.53,0.5,0.48,10,37,185,1189
28116,Pozuelo del Rey,7.52,1.78,2.98,2.98,2.98,2.98,18.75,18.75,26.9,26.9,1.03,1.03,1.03,1.03,6.38,6.38,6.54,6.54,0.83,0.12,6.62,5.72,129.07,0.95,31.98,0.84,0.81,0.6,0.42,0.46,0.38,0.47,0.41,0.4,0.44,0.44,0.4,3,25,1302,1410
28117,Prádena del Rincón,2.87,0.68,23.26,23.26,23.26,23.26,28.22,28.22,28.22,28.22,2.8,2.8,2.8,2.8,15.92,15.92,15.92,15.92,27.49,4.23,11.65,6.69,175.34,2.27,63.62,0.77,0.83,0.44,0.5,0.44,0.43,0.52,0.44,0.69,0.55,0.53,0.53,4,27,139,893
28118,Puebla de la Sierra,6.45,1.7,34.27,34.27,34.27,34.27,79.38,79.38,64.72,64.72,27.18,27.18,27.18,27.18,44.08,44.08,40.57,40.57,31.63,25.72,36.23,0.35,207.68,0.07,87.63,0.77,0.83,0.44,0.5,0.44,0.44,0.53,0.41,0.68,0.69,0.51,0.52,10,37,93,612
28119,Quijorna,10.63,2.37,3.95,3.27,0.15,0.15,7.75,7.75,32.18,32.18,1.32,1.08,0.03,0.03,2.62,2.62,10.83,10.83,2.05,0.63,7.17,4.35,22.33,1.12,9.88,0.98,0.86,0.69,0.35,0.47,0.52,0.49,0.49,0.6,0.69,0.42,0.39,9,35,3987,2277
28120,Rascafría,16.34,4.79,8.55,8.55,14.23,14.23,2.86,2.86,343.48,343.48,1.74,1.74,2.78,2.78,0.7,0.7,49.17,49.17,8.27,2.87,4.81,27.56,316.5,6.52,69.37,0.81,1.05,0.44,0.5,0.56,0.56,0.56,0.53,0.61,0.63,0.52,0.51,6,30,1712,1528
28121,Redueña,1.7,1.83,2.88,2.88,2.88,2.88,57.78,57.78,61.68,61.68,2.07,2.07,2.07,2.07,7.86,7.86,8.65,8.65,1.8,1.4,8.23,11.3,120.39,1.75,39.45,0.92,0.98,0.44,0.5,0.48,0.47,0.51,0.5,0.5,0.34,0.53,0.52,5,28,292,1352
